date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
250806,N2,imb2,set3,02,ch1,52,5.4662,15331.2256,250806_N2_imb2_set3_02_ch1,-8
250806,N2,imb2,set3,02,ch1,53,5.5734,15634.1221,250806_N2_imb2_set3_02_ch1,-7
250806,N2,imb2,set3,02,ch1,54,5.6805,15959.5186,250806_N2_imb2_set3_02_ch1,-6
250806,N2,imb2,set3,02,ch1,55,5.7877,16146.1406,250806_N2_imb2_set3_02_ch1,-5
250806,N2,imb2,set3,02,ch1,56,5.8949,16308.8984,250806_N2_imb2_set3_02_ch1,-4
250806,N2,imb2,set3,02,ch1,57,6.0021,16393.6973,250806_N2_imb2_set3_02_ch1,-3
250806,N2,imb2,set3,02,ch1,58,6.1093,16336.584,250806_N2_imb2_set3_02_ch1,-2
250806,N2,imb2,set3,02,ch1,59,6.2164,16138.7529,250806_N2_imb2_set3_02_ch1,-1
250806,N2,imb2,set3,02,ch1,60,6.3236,16022.1377,250806_N2_imb2_set3_02_ch1,0
250806,N2,imb2,set3,02,ch1,61,6.4308,15950.0352,250806_N2_imb2_set3_02_ch1,1
250806,N2,imb2,set3,02,ch1,62,6.538,15643.9482,250806_N2_imb2_set3_02_ch1,2
250806,N2,imb2,set3,02,ch1,63,6.6452,15063.8525,250806_N2_imb2_set3_02_ch1,3
250806,N2,imb2,set3,02,ch1,64,6.7523,14360.0664,250806_N2_imb2_set3_02_ch1,4
250806,N2,imb2,set3,02,ch1,65,6.8595,13627.2178,250806_N2_imb2_set3_02_ch1,5
250806,N2,imb2,set3,02,ch1,66,6.9667,13006.5469,250806_N2_imb2_set3_02_ch1,6
250806,N2,imb2,set3,02,ch1,67,7.0739,12587.2354,250806_N2_imb2_set3_02_ch1,7
250806,N2,imb2,set3,02,ch1,68,7.1811,12295.6016,250806_N2_imb2_set3_02_ch1,8
250806,N2,imb2,set3,02,ch1,69,7.2882,12031.2373,250806_N2_imb2_set3_02_ch1,9
250806,N2,imb2,set3,02,ch1,70,7.3954,11812.3662,250806_N2_imb2_set3_02_ch1,10
250806,N2,imb2,set3,02,ch1,71,7.5026,11617.8086,250806_N2_imb2_set3_02_ch1,11
250806,N2,imb2,set3,02,ch1,72,7.6098,11416.7998,250806_N2_imb2_set3_02_ch1,12
250806,N2,imb2,set3,02,ch1,73,7.717,11244.0547,250806_N2_imb2_set3_02_ch1,13
250806,N2,imb2,set3,02,ch1,74,7.8241,11060.085,250806_N2_imb2_set3_02_ch1,14
250806,N2,imb2,set3,02,ch1,75,7.9313,10879.9014,250806_N2_imb2_set3_02_ch1,15
250806,N2,imb2,set3,02,ch1,76,8.0385,10691.1631,250806_N2_imb2_set3_02_ch1,16
250806,N2,imb2,set3,02,ch1,77,8.1457,10450.9873,250806_N2_imb2_set3_02_ch1,17
250806,N2,imb2,set3,02,ch1,78,8.2529,10295.1846,250806_N2_imb2_set3_02_ch1,18
250806,N2,imb2,set3,02,ch1,79,8.36,10235.3232,250806_N2_imb2_set3_02_ch1,19
250806,N2,imb2,set3,02,ch1,80,8.4672,10190.2617,250806_N2_imb2_set3_02_ch1,20
250806,N2,imb2,set3,02,ch1,81,8.5744,10196.6387,250806_N2_imb2_set3_02_ch1,21
250806,N2,imb2,set3,02,ch1,82,8.6816,10287.7852,250806_N2_imb2_set3_02_ch1,22
250806,N2,imb2,set3,02,ch1,83,8.7888,10329.8818,250806_N2_imb2_set3_02_ch1,23
250806,N2,imb2,set3,02,ch1,84,8.8959,10268.9717,250806_N2_imb2_set3_02_ch1,24
250806,N2,imb2,set3,02,ch1,85,9.0031,10146.3555,250806_N2_imb2_set3_02_ch1,25
250806,N2,imb2,set3,02,ch1,86,9.1103,10046.2178,250806_N2_imb2_set3_02_ch1,26
250806,N2,imb2,set3,02,ch1,87,9.2175,9911.6426,250806_N2_imb2_set3_02_ch1,27
250806,N2,imb2,set3,02,ch1,88,9.3247,9793.918,250806_N2_imb2_set3_02_ch1,28
250806,N2,imb2,set3,02,ch1,89,9.4318,9727.2627,250806_N2_imb2_set3_02_ch1,29
250806,N2,imb2,set3,02,ch1,90,9.539,9748.4502,250806_N2_imb2_set3_02_ch1,30
250806,N2,imb2,set3,02,ch1,91,9.6462,9826.5918,250806_N2_imb2_set3_02_ch1,31
250806,N2,imb2,set3,02,ch1,92,9.7534,9909.4902,250806_N2_imb2_set3_02_ch1,32
250806,N2,imb2,set3,02,ch1,93,9.8606,9939.4102,250806_N2_imb2_set3_02_ch1,33
250806,N2,imb2,set3,02,ch1,94,9.9677,9923.5049,250806_N2_imb2_set3_02_ch1,34
250806,N2,imb2,set3,02,ch1,95,10.0749,9951.8594,250806_N2_imb2_set3_02_ch1,35
250806,N2,imb2,set3,02,ch1,96,10.1821,10037.9404,250806_N2_imb2_set3_02_ch1,36
250806,N2,imb2,set3,02,ch1,97,10.2893,10057.123,250806_N2_imb2_set3_02_ch1,37
250806,N2,imb2,set3,02,ch1,98,10.3965,9966.958,250806_N2_imb2_set3_02_ch1,38
250806,N2,imb2,set3,02,ch1,99,10.5036,9839.5811,250806_N2_imb2_set3_02_ch1,39
250806,N2,imb2,set3,02,ch1,100,10.6108,9711.5957,250806_N2_imb2_set3_02_ch1,40
250806,N2,imb2,set3,02,ch1,101,10.718,9546.8672,250806_N2_imb2_set3_02_ch1,41
