file	channel	0	0.1072	0.2144	0.3215	0.4287	0.5359	0.6431	0.7503	0.8574	0.9646	1.0718	1.179	1.2862	1.3933	1.5005	1.6077	1.7149	1.8221	1.9292	2.0364	2.1436	2.2508	2.358	2.4651	2.5723	2.6795	2.7867	2.8939	3.001	3.1082	3.2154	3.3226	3.4298	3.5369	3.6441	3.7513	3.8585	3.9657	4.0728	4.18	4.2872	4.3944	4.5016	4.6087	4.7159	4.8231	4.9303	5.0375	5.1446	5.2518	5.359	5.4662	5.5734	5.6805	5.7877	5.8949	6.0021	6.1093	6.2164	6.3236	6.4308	6.538	6.6452	6.7523	6.8595	6.9667	7.0739	7.1811	7.2882	7.3954	7.5026	7.6098	7.717	7.8241	7.9313	8.0385	8.1457	8.2529	8.36	8.4672	8.5744	8.6816	8.7888	8.8959	9.0031	9.1103	9.2175	9.3247	9.4318	9.539	9.6462	9.7534	9.8606	9.9677	10.0749	10.1821	10.2893	10.3965	10.5036	10.6108	10.718	10.8252	10.9324	11.0395	11.1467	11.2539	11.3611	11.4683	11.5754	11.6826	11.7898	11.897	12.0042	12.1113	12.2185	12.3257	12.4329	12.5401	
260527_N2_imb2_set3_image09_R3D.dv	ch1	3446.3887	3420.0654	3401.8042	3389.5105	3375.5671	3366.4138	3352.2476	3344.9097	3345.7168	3340.9836	3343.1396	3355.1296	3351.1807	3358.2668	3367.0325	3370.1296	3378.3762	3388.2512	3396.0117	3419.1394	3437.0823	3452.8806	3478.137	3498.2537	3524.3757	3540.7263	3543.231	3527.7966	3536.9758	3558	3599.5576	3657.3779	3694.687	3723.0808	3730.9648	3714.4414	3691.0691	3683.8228	3664.2905	3646.1895	3651.0542	3657.5803	3661.1799	3661.3384	3649.6775	3642.3867	3656.2505	3679.6414	3721.6365	3764.9102	3789.9133	3801.6572	3794.1733	3765.0742	3732.7458	3706.7961	3703.5466	3726.4678	3795.0481	3875.6226	3947.5498	3986.7097	3973.6572	3889.9255	3799.781	3734.2683	3688.3787	3653.3555	3616.1685	3568.5486	3522.1414	3476.6946	3433.4058	3415.1211	3384.7471	3369.3359	3353.7761	3336.7581	3320.2886	3311.4705	3303.0676	3304.8718	3309.1687	3316.2661	3337.2041	3375.167	3407.2554	3421.5671	3409.0825	3370.3655	3337.9375	3331.7485	3335.6782	3330.9788	3334.6799	3322.5986	3287.5674	3256.3611	3228.6196	3190.853	3158.6611	3131.2129	3094.8418	3078.5603	3078.9595	3075.7009	3077.4404	3069.113	3047.7893	3031.6375	3011.4312	2994.9866	2973.9661	2951.2092	2916.2397	2893.5315	2853.0698	2810.2791	
260527_N2_imb2_set3_image09_R3D.dv	ch2	4821.0166	4829.4458	4834.5923	4845.6392	4854.5488	4844.605	4816.1035	4787.2183	4779.5845	4767.874	4763.2583	4768.4883	4770.5391	4786.498	4799.7959	4826.7725	4844.7759	4866.4897	4897.8193	4955.1484	4980.5137	4969.2705	4921.2495	4852.2568	4803.1357	4776.1846	4753.1743	4725.2427	4705.2456	4694.5601	4676.9312	4665.7773	4659.2588	4655.7236	4652.1548	4656.4551	4660.2046	4668.5444	4659.3506	4660.5186	4658.7671	4669.7744	4670.7505	4670.6934	4677.9575	4674.7119	4675.916	4683.3467	4713.0107	4739.106	4775.7725	4808.8374	4814.4097	4798.0747	4751.1074	4730.7544	4712.3374	4690.4722	4672.6973	4673.8452	4666.7695	4658.4561	4652.2075	4632.4644	4636.8384	4632.1362	4645.3296	4665.314	4673.8242	4678.6274	4683.5049	4672.2627	4652.8125	4639.9888	4621.2578	4616.7617	4610.2041	4603.936	4610.3647	4618.0859	4617.415	4595.1855	4569.77	4546.2471	4513.5332	4490.2886	4471.9023	4447.9121	4420.9355	4401.6621	4390.2729	4375.5469	4370.0269	4351.1709	4328.625	4285.4932	4245.353	4203.6279	4177.7397	4148.6694	4111.2656	4088.6733	4068.9534	4056.5603	4042.4492	4017.3684	3984.4944	3953.0615	3915.3179	3869.9067	3826.5723	3781.5073	3741.0271	3714.6333	3690.9973	3654.3496	3606.9907	3569.1907	
260527_N2_imb2_set3_image12_R3D.dv	ch1	6359.2661	6304.8589	6211.8945	6091.9917	5999.7412	5910.521	5821.5781	5693.3853	5564.7866	5473.8896	5420.8042	5366.4517	5304.9009	5250.958	5199.6104	5142.8516	5095.9883	5053.9639	5018.9561	4982.731	4957.8896	4931.0054	4899.8643	4878.8936	4861.1582	4835.4614	4833.3477	4817.9863	4818.8325	4801.2881	4795.5127	4790.5161	4795.8462	4795.1167	4794.9668	4806.1465	4823.7988	4846.4517	4864.3311	4880.373	4912.0991	4943.3828	4984.3213	5037.6147	5107.2729	5195.1465	5289.8438	5402.0693	5483.5957	5595.1919	5731.1748	5879.3413	6032.5444	6274.0405	6560.3711	6781.1821	6841.9854	6773.229	6654.3691	6450.4307	6198.5923	5977.4956	5799.4854	5673.1133	5523.3906	5236.7725	4970.8457	4761.9385	4580.3701	4430.0371	4294.4888	4159.9595	4046.7261	3951.5752	3877.8616	3815.9724	3760.385	3707.9758	3634.4116	3565.1304	3504.231	3455.73	3423.7195	3383.7825	3315.98	3222.1013	3128.0613	3062.8271	3029.6565	2999.8027	2957.2068	2896.2715	2835.2004	2804.3247	2813.0237	2843.6641	2820.0461	2741.01	2650.405	2583.5969	2527.1646	2464.2959	2401.6147	2339.1179	2294.3499	2258.0583	2212.3555	2170.6025	2131.9116	2098.9368	2073.752	2055.4175	2040.8533	2012.3989	1980.5093	1944.5732	1914.1429	1892.5166	
260527_N2_imb2_set3_image12_R3D.dv	ch2	4140.188	4113.2456	4095.658	4078.217	4059.4536	4045.3413	4037.5291	4023.6248	4012.9734	4013.3491	3997.6179	3985.1128	3966.925	3949.9624	3941.1812	3933.6062	3921.8535	3907.7642	3901.0518	3898.2646	3897.9617	3891.5615	3882.0759	3864.7722	3851.3623	3843.4016	3830.1311	3825.2759	3819.4619	3810.5149	3803.3188	3792.8376	3793.644	3787.4614	3782.6333	3777.6069	3773.7905	3777.1875	3769.1025	3771.1826	3767.8528	3768.968	3768.4568	3775.2339	3773.2229	3774.4336	3787.5254	3792.1069	3793.9229	3797.9409	3807.5525	3809.4873	3813.0374	3830.3616	3843.3704	3828.9055	3817.4336	3802.6655	3809.1509	3810.5776	3824.7227	3837.2644	3864.9089	3919.1189	4010.6643	4045.7002	3996.3542	3932.5352	3905.5623	3875.7659	3850.793	3827.8479	3826.8718	3825.1267	3791.4038	3753.0952	3759.0647	3753.8396	3745.4915	3745.5276	3710.9912	3621.5725	3552.0554	3518.7219	3515.1414	3533.4922	3603.3081	3664.958	3657.5103	3587.6289	3520.5615	3496.3357	3510.5371	3510.1672	3485.1321	3409.7783	3331.7109	3280.9578	3253.0779	3208.186	3164.636	3109.8281	3019.8394	2921.6851	2830.365	2768.0117	2707.4834	2646.8254	2596.4849	2544.2317	2503.9004	2479.3645	2461.0996	2448.5342	2413.301	2355.0066	2293.0002	2243.3962	
260527_N2_imb2_set3_image13_R3D.dv	ch1	4707.1387	4633.5522	4564.1475	4500.3218	4441.9243	4366.3521	4293.1431	4220.6108	4160.7329	4133.667	4100.0229	4064.5144	4026.8308	3990.1108	3954.6609	3921.0046	3895.7686	3862.9602	3829.8755	3806.928	3781.6335	3759.8508	3748.2566	3741.2346	3720.397	3705.3875	3696.1318	3691.9575	3684.9583	3672.5176	3672.5918	3668.8767	3667.7156	3668.4753	3661.9551	3655.7737	3667.46	3680.8706	3684.0269	3699.9194	3712.6597	3733.2358	3755.9424	3773.3262	3797.8796	3825.4534	3854.741	3897.4182	3922.1018	3959.4783	3995.7942	4033.04	4075.0261	4131.0391	4223.4214	4314.6377	4427.9893	4534.6016	4645.8999	4749.7236	4836.0376	4929.1836	5002.1855	5062.0396	5073.7007	5009.5557	4892.46	4742.7593	4587.8184	4475.0806	4400.313	4322.7026	4252.4766	4168.7754	4083.594	3988.9316	3901.8745	3830.9661	3768.8892	3742.9172	3725.5979	3710.6184	3685.0806	3660.0281	3634.8323	3606.6421	3594.7664	3591.6255	3594.3354	3585.2361	3568.4138	3531.3567	3470.5181	3389.782	3343.0256	3301.6328	3265.1729	3233.124	3199.5188	3154.4211	3100.2217	3055.7158	3029.5808	3001.3567	2976.6033	2941.8271	2905.5029	2866.7581	2824.0125	2772.6003	2723.512	2684.6396	2655.4373	2634.8674	2611.1204	2596.1377	2574.6875	2549.6836	
260527_N2_imb2_set3_image13_R3D.dv	ch2	3850.3567	3837.0518	3833.1816	3819.03	3820.7393	3825.582	3828.5991	3844.2986	3845.3259	3857.939	3863.8086	3885.7219	3904.8806	3912.9385	3918.8027	3927.3555	3911.0068	3881.8608	3868.811	3860.2603	3849.4067	3847.8013	3835.0791	3832.0493	3825.739	3821.5796	3809.084	3805.9358	3800.5896	3804.1904	3798.8267	3800.6204	3801.4202	3793.8354	3794.6216	3797.9253	3806.4568	3811.2983	3814.4951	3824.6533	3831.6394	3838.7964	3850.3826	3855.0842	3868.3821	3885.7852	3889.7104	3903.895	3917.7727	3934.3765	3945.4634	3961.6411	3986.3823	4010.1348	4040.5371	4059.616	4075.6914	4094.2427	4102.8926	4115.1689	4125.2056	4134.4048	4146.5444	4150.0986	4149.2705	4140.2671	4138.9375	4132.9141	4133.0796	4129.5166	4127.7007	4122.3491	4120.5273	4122.3428	4127.3403	4134.2163	4119.4956	4096.9395	4064.6125	4047.239	4028.1616	4027.5024	4017.373	4011.0476	4011.3762	4032.3391	4056.3042	4096.0913	4109.4863	4098.3042	4062.4954	3987.9636	3935.5742	3887.281	3843.4043	3801.1558	3749.0376	3703.1804	3660.7017	3628.3828	3607.8323	3586.5178	3579.9277	3608.9197	3648.2112	3675.6865	3687.52	3672.7007	3615.3997	3558.6741	3482.9651	3407.0225	3353.2551	3319.9453	3291.8489	3244.9055	3164.7712	3077.6931	
260527_N2_imb2_set3_image14_R3D.dv	ch1	4652.8682	4654.6899	4671.373	4679.9805	4687.9629	4704.7993	4713.4746	4734.5444	4761.6382	4761.4502	4740.3213	4693.4507	4634.0029	4592.0483	4555.0117	4529.3149	4526.6929	4510.2031	4494.0762	4483.5698	4471.0283	4465.2515	4462.7412	4464.8047	4470.6167	4479.6646	4480.5142	4500.7964	4505.4155	4521.5273	4534.813	4551.0132	4568.6377	4582.0986	4597.7632	4618.4043	4651.3643	4682.2163	4709.0078	4737.2266	4784.1875	4827.4111	4868.0796	4920.9795	4987.0674	5079.896	5180.7534	5291.2695	5401.1382	5497.6729	5581.7524	5643.4043	5727.2412	5826.0527	5886.9663	5938.4849	5952.1665	5946.6353	5942.0845	5963.6157	5989.1372	6008.9194	5991.4761	5912.8672	5767.3564	5556.8369	5324.1309	5124.6655	4952.6978	4820.0107	4716.4346	4613.2417	4536.5347	4470.8467	4428.75	4410.1055	4415.8364	4459.8481	4484.9824	4475.1855	4438.6426	4372.3657	4301.9624	4228.918	4170.9976	4145.8936	4119.8091	4074.4563	4022.0635	3960.7769	3923.3127	3886.0073	3857.8418	3862.8831	3891.6157	3945.8906	3981.0596	3975.665	3954.3584	3918.3311	3871.4878	3815.2344	3757.8418	3711.0378	3671.6318	3628.1499	3579.3567	3546.9751	3529.5403	3521.7717	3531.2021	3517.5149	3507.1902	3500.6465	3496.1377	3481.7969	3446.6885	3406.4436	
260527_N2_imb2_set3_image14_R3D.dv	ch2	4550.1123	4536.7856	4512.0552	4486.624	4464.5381	4460.2075	4458.6782	4464.4741	4454.0698	4458.1597	4463.7959	4458.5161	4455.8804	4453.27	4438.2158	4435.5029	4435.458	4419.4976	4406.0874	4389.0444	4374.479	4356.7554	4332.271	4325.5928	4327.9741	4335.1797	4328.6982	4329.873	4328.4443	4321.1348	4314.1392	4310.5527	4311.3496	4307.9438	4307.7114	4320.8735	4325.0195	4333.1777	4343.3906	4364.2637	4380.2827	4412.1709	4426.8896	4445.2095	4479.0117	4508.0059	4539.3184	4561.6157	4591.0674	4621.2617	4660.5098	4685.3555	4724.7051	4768.1602	4802.5845	4835.2954	4867.9248	4897.7085	4928.5752	4969.9663	4992.0513	5035.0635	5063.9375	5088.5283	5113.6816	5139.2046	5141.9028	5149.9678	5156.0547	5165.1802	5172.5488	5175.5771	5165.3042	5156.3452	5145.3667	5146.2402	5145.2095	5123.8618	5080.3306	5033.2412	4985.8022	4958.9473	4925.3604	4918.3862	4938.3354	4972.9062	4984.0493	4974.2363	4939.4155	4895.7896	4859.6758	4820.52	4808.832	4807.4385	4815.1797	4828.1348	4832.8193	4796.3521	4744.8652	4699.4761	4660.4395	4625.4204	4605.3242	4579.3677	4570.5034	4551.8823	4543.0278	4525.8979	4515.207	4497.4854	4481.8057	4475.0894	4493.8384	4501.0352	4456.6108	4377.5029	4278.1455	4176.8501	
260527_N2_imb2_set3_image16_R3D.dv	ch1	3832.4326	3870.9194	3887.0312	3909.5857	3955.6692	4019.9202	4098.0898	4127.7437	4098.7764	4082.8464	4081.0154	4089.8745	4087.2756	4043.3901	4003.2151	3969.2019	3969.469	3970.6826	3975.6887	3962.2429	3926.6309	3868.0874	3816.5786	3771.0942	3742.6541	3713.4807	3699.9158	3697.0261	3688.2632	3694.3367	3708.2698	3719.7222	3734.1169	3743.9822	3764.3721	3772.7751	3784.187	3787.5925	3800.9714	3810.2363	3821.3547	3827.4817	3852.2273	3883.1584	3920.7166	3973.1646	4000.5244	4023.7119	4037.5547	4040.2349	4066.7678	4113.1968	4180.6982	4262.3242	4326.0391	4363.9971	4357.1431	4314.541	4269.6543	4245.9829	4225.0928	4183.1235	4134.7812	4097.0718	4081.5105	4073.1392	4081.8152	4078.7207	4039.1538	3967.7034	3876.2732	3790.3896	3748.0811	3716.4092	3693.1179	3678.8787	3665.8323	3648.0408	3641.6028	3626.05	3635.6189	3645.1052	3612.1926	3566.6689	3504.7295	3469.9521	3445.1252	3436.9875	3437.7966	3441.3149	3433.0144	3426.4568	3402.7134	3396.5042	3405.2185	3418.8579	3431.6472	3435.5273	3405.2388	3387.9922	3364.613	3348.7517	3334.9961	3325.01	3318.8076	3326.9482	3332.4648	3334.2432	3347.2607	3370.2402	3387.8835	3390.8037	3387.8303	3390.9573	3403.509	3418.7639	3433.1365	3416.4988	
