date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
231206,U2OS,gapdh,tnpo1,image01,ch1,41,4.2872,3695.095,231206_U2OS_gapdh_tnpo1_image01_ch1,-50
231206,U2OS,gapdh,tnpo1,image01,ch1,42,4.3944,3675.8206,231206_U2OS_gapdh_tnpo1_image01_ch1,-49
231206,U2OS,gapdh,tnpo1,image01,ch1,43,4.5016,3668.1938,231206_U2OS_gapdh_tnpo1_image01_ch1,-48
231206,U2OS,gapdh,tnpo1,image01,ch1,44,4.6087,3679.2688,231206_U2OS_gapdh_tnpo1_image01_ch1,-47
231206,U2OS,gapdh,tnpo1,image01,ch1,45,4.7159,3695.5122,231206_U2OS_gapdh_tnpo1_image01_ch1,-46
231206,U2OS,gapdh,tnpo1,image01,ch1,46,4.8231,3702.4675,231206_U2OS_gapdh_tnpo1_image01_ch1,-45
231206,U2OS,gapdh,tnpo1,image01,ch1,47,4.9303,3683.7153,231206_U2OS_gapdh_tnpo1_image01_ch1,-44
231206,U2OS,gapdh,tnpo1,image01,ch1,48,5.0375,3667.9255,231206_U2OS_gapdh_tnpo1_image01_ch1,-43
231206,U2OS,gapdh,tnpo1,image01,ch1,49,5.1446,3656.2998,231206_U2OS_gapdh_tnpo1_image01_ch1,-42
231206,U2OS,gapdh,tnpo1,image01,ch1,50,5.2518,3673.7114,231206_U2OS_gapdh_tnpo1_image01_ch1,-41
231206,U2OS,gapdh,tnpo1,image01,ch1,51,5.359,3714.6228,231206_U2OS_gapdh_tnpo1_image01_ch1,-40
231206,U2OS,gapdh,tnpo1,image01,ch1,52,5.4662,3756.6575,231206_U2OS_gapdh_tnpo1_image01_ch1,-39
231206,U2OS,gapdh,tnpo1,image01,ch1,53,5.5734,3789.6365,231206_U2OS_gapdh_tnpo1_image01_ch1,-38
231206,U2OS,gapdh,tnpo1,image01,ch1,54,5.6805,3829.1399,231206_U2OS_gapdh_tnpo1_image01_ch1,-37
231206,U2OS,gapdh,tnpo1,image01,ch1,55,5.7877,3845.3228,231206_U2OS_gapdh_tnpo1_image01_ch1,-36
231206,U2OS,gapdh,tnpo1,image01,ch1,56,5.8949,3834.2529,231206_U2OS_gapdh_tnpo1_image01_ch1,-35
231206,U2OS,gapdh,tnpo1,image01,ch1,57,6.0021,3807.032,231206_U2OS_gapdh_tnpo1_image01_ch1,-34
231206,U2OS,gapdh,tnpo1,image01,ch1,58,6.1093,3769.1929,231206_U2OS_gapdh_tnpo1_image01_ch1,-33
