"date","embryoID","channel","aligned_row","normalized_intensity"
"231206","image01","ch1",-90,0.899593722638187
"231206","image01","ch1",-89,0.898831188751462
"231206","image01","ch1",-88,0.904618567503266
"231206","image01","ch1",-87,0.905877149650902
"231206","image01","ch1",-86,0.898410916163027
"231206","image01","ch1",-85,0.890386437177485
"231206","image01","ch1",-84,0.890602068384598
"231206","image01","ch1",-83,0.898567079940218
"231206","image01","ch1",-82,0.904626898120675
"231206","image01","ch1",-81,0.907968040489269
"231206","image01","ch1",-80,0.908370428136373
"231206","image01","ch1",-79,0.910315109579368
"231206","image01","ch1",-78,0.905390443918555
"231206","image01","ch1",-77,0.887766740396193
"231206","image01","ch1",-76,0.870157533089436
"231206","image01","ch1",-75,0.863085733156337
"231206","image01","ch1",-74,0.863924654568796
"231206","image01","ch1",-73,0.865669283529889
"231206","image01","ch1",-72,0.871640618316397
"231206","image01","ch1",-71,0.87538478371817
"231206","image01","ch1",-70,0.877672526575252
"231206","image01","ch1",-69,0.880743112140597
"231206","image01","ch1",-68,0.888428436159763
"231206","image01","ch1",-67,0.892673709378217
"231206","image01","ch1",-66,0.90020919994811
"231206","image01","ch1",-65,0.904495561465988
"231206","image01","ch1",-64,0.908803737905724
"231206","image01","ch1",-63,0.910957555498191
"231206","image01","ch1",-62,0.909541844727844
"231206","image01","ch1",-61,0.902326706403114
"231206","image01","ch1",-60,0.893170157697026
"231206","image01","ch1",-59,0.88466888029532
"231206","image01","ch1",-58,0.883841725291632
"231206","image01","ch1",-57,0.887545320115966
"231206","image01","ch1",-56,0.892603322720957
"231206","image01","ch1",-55,0.900293141508273
"231206","image01","ch1",-54,0.903196667601906
"231206","image01","ch1",-53,0.898606497409597
"231206","image01","ch1",-52,0.886893296340405
"231206","image01","ch1",-51,0.875710901503629
"231206","image01","ch1",-50,0.86955996425366
"231206","image01","ch1",-49,0.865024154869867
"231206","image01","ch1",-48,0.86322935394178
"231206","image01","ch1",-47,0.865835613484257
"231206","image01","ch1",-46,0.869658143168435
"231206","image01","ch1",-45,0.871294921226745
"231206","image01","ch1",-44,0.866882000216141
"231206","image01","ch1",-43,0.863166215392322
"231206","image01","ch1",-42,0.860430360623656
"231206","image01","ch1",-41,0.864527800682328
"231206","image01","ch1",-40,0.874155405797099
"231206","image01","ch1",-39,0.88404735505129
"231206","image01","ch1",-38,0.891808242947574
"231206","image01","ch1",-37,0.901104505991393
"231206","image01","ch1",-36,0.90491279832096
"231206","image01","ch1",-35,0.902307738952177
"231206","image01","ch1",-34,0.895901894222623
"231206","image01","ch1",-33,0.886997287861111
"231206","image01","ch1",-32,0.880524892323555
"231206","image01","ch1",-31,0.877444258245121
"231206","image01","ch1",-30,0.879563929719338
"231206","image01","ch1",-29,0.885333658857988
"231206","image01","ch1",-28,0.88930505714592
"231206","image01","ch1",-27,0.893312295914964
"231206","image01","ch1",-26,0.892959256586239
"231206","image01","ch1",-25,0.885371805555219
"231206","image01","ch1",-24,0.875403233447121
"231206","image01","ch1",-23,0.866863691684096
"231206","image01","ch1",-22,0.864200317993451
"231206","image01","ch1",-21,0.86428047076999
"231206","image01","ch1",-20,0.866182275419428
"231206","image01","ch1",-19,0.868282649983263
