file	channel	0	0.1072	0.2144	0.3215	0.4287	0.5359	0.6431	0.7503	0.8574	0.9646	1.0718	1.179	1.2862	1.3933	1.5005	1.6077	1.7149	1.8221	1.9292	2.0364	2.1436	2.2508	2.358	2.4651	2.5723	2.6795	2.7867	2.8939	3.001	3.1082	3.2154	3.3226	3.4298	3.5369	3.6441	3.7513	3.8585	3.9657	4.0728	4.18	4.2872	4.3944	4.5016	4.6087	4.7159	4.8231	4.9303	5.0375	5.1446	5.2518	5.359	5.4662	5.5734	5.6805	5.7877	5.8949	6.0021	6.1093	6.2164	6.3236	6.4308	6.538	6.6452	6.7523	6.8595	6.9667	7.0739	7.1811	7.2882	7.3954	7.5026	7.6098	7.717	7.8241	7.9313	8.0385	8.1457	8.2529	8.36	8.4672	8.5744	8.6816	8.7888	8.8959	9.0031	9.1103	9.2175	9.3247	9.4318	9.539	9.6462	9.7534	9.8606	9.9677	10.0749	10.1821	10.2893	10.3965	10.5036	10.6108	10.718	10.8252	10.9324	11.0395	11.1467	11.2539	11.3611	11.4683	11.5754	11.6826	11.7898	11.897	12.0042	12.1113	12.2185	12.3257	12.4329	12.5401	12.6472	12.7544	12.8616	12.9688	13.076	13.1831	13.2903	13.3975	13.5047	13.6119	13.719	13.8262	13.9334	14.0406	14.1478	14.2549	14.3621	14.4693	14.5765	14.6837	14.7908	14.898	15.0052	15.1124	15.2196	15.3267	15.4339	15.5411	15.6483	15.7555	15.8626	15.9698	16.077	16.1842	16.2914	16.3985	16.5057	16.6129	16.7201	16.8273	16.9344	17.0416	17.1488	17.256	17.3632	17.4703	17.5775	17.6847	17.7919	17.8991	18.0062	18.1134	18.2206	18.3278	18.435	18.5421	18.6493	18.7565	18.8637	18.9709	19.078	19.1852	19.2924	
250802A_U2OS_gapdh_tnpo1_image01_R3D.dv	ch1	2384.6365	2399.4504	2431.4573	2460.8684	2466.1282	2442.3811	2422.1853	2420.6506	2437.9658	2451.45	2446.7607	2426.2502	2421.5244	2411.9219	2408.1121	2394.4707	2369.8059	2370.1367	2370.2222	2376.6638	2379.8254	2389.7	2399.4119	2404.1501	2407.9656	2410.8032	2416.4519	2426.4236	2447.741	2479.5747	2514.5691	2540.0029	2554.0767	2570.5137	2582.0061	2601.2493	2616.7383	2641.998	2683.626	2702.8718	2681.8252	2619.7068	2558.218	2524.3882	2521.9248	2528.2197	2556.8853	2601.2996	2641.3618	2664.0574	2638.9199	2603.3838	2594.9441	2604.4832	2627.8071	2635.6562	2619.1746	2580.3501	2562.8484	2572.3008	2582.2275	2599.2117	2608.3691	2611.5852	2615.2769	2614.053	2621.2029	2652.2466	2688.1675	2721.6221	2758.0398	2796.573	2823.3191	2831.8242	2846.7722	2869.251	2920.7925	2984.7556	3056.04	3102.2964	3122.209	3141.5735	3172.5913	3212.1394	3278.2864	3358.9873	3449.9587	3574.3469	3713.8364	3856.2654	3967.4988	4023.2795	4011.9407	3987.1079	3976.8213	3995.27	4025.2227	4047.1282	4058.354	4090.6843	4111.6108	4142.2607	4171.8867	4217.1294	4271.4741	4316.7705	4317.7344	4273.3726	4213.7451	4167.0635	4143.7197	4132.7729	4135.5254	4142.2397	4179.4038	4247.084	4319.0996	4364.6704	4410.0718	4436.0249	4457.6768	4466.6172	4459.481	4490.8042	4543.7358	4571.0664	4562.0835	4571.2563	4632.6187	4723.168	4791.2676	4831.9897	4833.1133	4853.939	4919.5293	4989.9395	4997.4883	4911.7402	4792.9902	4697.8672	4633.2456	4597.334	4610.3579	4649.7749	4725.1772	4866.0801	4998.3442	5023.0371	4947.8213	4810.2808	4673.4619	4588.3203	4555.3706	4617.3398	4704.748	4784.25	4816.3882	4805.2822	4773.7993	4716.6758	4649.6636	4604.8525	4615.8882	4636.2241	4648.3911	4632.1318	4609.7163	4589.7637	4579.8506	4562.7271	4510.6226	4407.8979	4327.9473	4304.2856	4290.3716	4261.4912	4209.8867	4153.0054	4148.0928	4176.4912	4229.9976	
250802A_U2OS_gapdh_tnpo1_image01_R3D.dv	ch2	3332.5234	3406.5034	3436.3108	3399.5989	3308.9568	3231.8052	3198.1897	3168.842	3150.3433	3142.5444	3147.0374	3133.5227	3136.281	3138.2131	3135.5049	3133.468	3132.7603	3134.7969	3140.1848	3161.4255	3198.4197	3239.4822	3259.1917	3257.9382	3252.8696	3250.2258	3232.3206	3225.127	3218.5676	3211.4631	3214.4124	3205.2681	3211.6794	3231.8958	3223.0264	3202.7505	3176.948	3175.1853	3175.3152	3179.9082	3184.6665	3197.7458	3204.8218	3217.9365	3250.3096	3273.8948	3287.1331	3295.7637	3296.7036	3285.9622	3281.4419	3293.2363	3305.0786	3313.5149	3305.8474	3303.8655	3318.075	3337.2483	3337.9158	3321.8943	3306.9917	3304.2903	3309.8396	3325.0725	3328.3193	3311.2053	3297.3772	3291.0918	3298.5691	3305.8872	3308.2798	3314.1455	3326.4663	3343.0356	3366.7556	3390.3037	3415.8159	3441.0669	3460.2903	3467.3479	3474.458	3491.9204	3511.6824	3538.3545	3565.0762	3604.8066	3648.4163	3667.1089	3677.4817	3694.6589	3703.4226	3735.6763	3753.6711	3770.8621	3788.0713	3808.4773	3831.8577	3858.4448	3886.8462	3918.0608	3940.3799	3952.6279	3966.9321	3981.7107	3992.533	4001.0159	4017.9988	4038.9482	4058.7214	4081.2598	4101.1328	4125.0586	4146.6743	4154.6255	4162.8174	4163.6455	4177.7974	4181.7261	4187.8975	4173.4731	4164.0269	4156.0493	4133.0039	4112.5186	4082.7109	4053.4243	4005.6758	3965.1028	3930.4854	3904.6184	3878.6562	3838.5713	3800.7693	3761.7236	3717.5293	3676.1541	3634.1357	3613.9817	3587.3318	3574.3145	3557.4043	3525.9648	3504.0007	3493.2988	3480.2268	3459.8716	3449.7285	3432.8438	3440.1118	3449.7878	3449.6357	3436.8604	3428.1746	3417.8179	3407.4873	3408.5884	3406.8782	3407.22	3409.894	3416.1636	3427.9529	3442.8726	3443.7778	3432.1238	3427.4221	3416.4114	3420.2537	3445.2727	3454.0039	3460.5479	3453.803	3446.9199	3418.698	3397.9402	3374.9558	3350.3035	3324.0586	3292.7844	3257.2344	3219.603	3182.8433	
250802A_U2OS_gapdh_tnpo1_image03_R3D.dv	ch1	4684.9619	4659.7471	4684.4761	4726.6821	4711.1084	4629.772	4515.8384	4424.1343	4347.5293	4286.4092	4249.8506	4237.5493	4233.1597	4274.0942	4336.4512	4417.5498	4516.7866	4613.1865	4702.1431	4787.1719	4829.4707	4908.208	5023.6372	5217.7104	5476.6167	5722.2515	5843.623	5793.2368	5665.6953	5514.4258	5419.9321	5388.499	5402.2671	5434.8877	5440.7212	5421.9473	5418.5459	5444.1201	5527.6494	5643.5327	5762.4248	5861.4946	5944.019	6003.667	6047.6968	6139.4102	6284.3325	6459.5879	6600.4492	6634.9316	6557.0986	6443.0049	6365.6875	6414.5991	6505.1274	6546.2773	6515.75	6498.3203	6507.8027	6486.0625	6468.7227	6453.9004	6479.042	6577.1118	6680.1851	6806.2441	6976.458	7171.6377	7403.9341	7565.4629	7641.6421	7698.333	7833.4434	7989.2441	8169.8047	8378.8447	8632.752	8912.7959	9199.21	9470.2197	9680.583	9868.0273	10033.0215	10216.8789	10482.5791	10848.4873	11306.6279	11901.9033	12631.5439	13425.9326	14182.0107	14942.3467	15663.8359	16398.3633	17065.6094	17436.4297	17570.8965	17587.3047	17594.6035	17601.5137	17554.2188	17641.7148	17902.7598	18240.9473	18506.1309	18830.3809	19204.959	19709.6309	20152.8418	20458.3594	20647.2461	20696.2832	20457.1562	19918.4668	19230.293	18826.1309	18808.0332	18882.5586	18990.7637	19003.5391	19043.4141	19074.3066	19092.1152	19191.6094	19388.332	19733.1133	19972.5137	19993.5078	19974.6211	20023.1465	20066.2832	19951.2793	19768.4082	19637.8652	19704.6504	19790.0293	19861.8496	19967.9414	20069.9238	20177.8867	20171.5801	20152.4043	20127.041	20031.4785	19844.5195	19614.4238	19410.7031	19245.8359	19032.4785	18856.7012	18720.7656	18727.1113	18919.6816	19249.5957	19493.0664	19465.8984	19241.9746	18919.8184	18720.082	18781.3984	18815.9199	18657.5488	18271.0703	17886.1855	17556.0234	17261.6641	17103.7578	17025.0547	16897.3945	16674.8984	16352.1016	15989.3633	15788.2432	15692.9277	15638.6504	15542.3896	15427.7939	15347.0713	15188.9199	14803.5088	14173.2637	
250802A_U2OS_gapdh_tnpo1_image03_R3D.dv	ch2	3532.613	3515.6357	3495.4158	3479.5574	3469.7505	3466.7371	3463.176	3447.2371	3423.0017	3412.8706	3418.6472	3429.6323	3442.9138	3451.6016	3453.6184	3459.8503	3463.9766	3472.8547	3497.7231	3533.4956	3536.8855	3535.4692	3523.7456	3531.9934	3565.7773	3626.9014	3670.2522	3674.8462	3642.7292	3608.6741	3602.6223	3605.5144	3611.1436	3606.7222	3594.1455	3576.0842	3567.5024	3569.208	3556.3994	3539.1406	3525.0212	3515.3684	3522.6633	3511.0654	3497.8137	3504.7939	3505.0422	3501.7678	3508.2051	3501.1362	3492.8213	3475.0623	3456.6853	3453.1562	3453.0667	3466.8877	3476.8313	3500.3621	3526.3472	3550.002	3558.3381	3558.5967	3569.6169	3570.0312	3597.8223	3628.2905	3658.1099	3679.2468	3687.9102	3694.9863	3699.3369	3695.3232	3692.9653	3692.7661	3696.3743	3695.5493	3710.3459	3744.4944	3787.8425	3843.9209	3893.2153	3935.1223	3973.3188	3991.7454	4015.9656	4043.0417	4068.4753	4100.1265	4136.7441	4197.23	4293.9404	4450.8218	4624.6602	4778.7642	4883.2017	4974.999	5096.1479	5212.1675	5329.8867	5428.7075	5477.4785	5498.5283	5501.3984	5525.2129	5563.5146	5633.5381	5690.2324	5710.2739	5691.8584	5620.9106	5525.7075	5430.1294	5357.0356	5331.5078	5327.1816	5355.5635	5367.4775	5338.5464	5268.6235	5138.1411	4991.4785	4850.6172	4720.1582	4629.3447	4595.0757	4612.5439	4650.0073	4669.0605	4680.7397	4666.3896	4640.5269	4617.9897	4600.8535	4581.8174	4566.8105	4544.7607	4518.4785	4506.8135	4516.4033	4534.5298	4581.2886	4686.9941	4821.75	4912.186	4901.2031	4814.9692	4744.3242	4728.0127	4715.584	4700.0117	4675.6938	4663.3555	4648.0903	4608.3398	4548.2378	4455.5854	4375.6313	4302.8384	4227.5688	4192.8354	4163.5073	4138.8945	4117.1914	4099.6025	4067.1619	4037.5242	4015.2422	4002.7671	3999.3726	4006.4829	4007.0693	3999.8804	3990.8799	3947.9316	3919.9978	3887.3586	3856.2522	3828.3152	3813.4146	3810.7458	3814.6958	
250802A_U2OS_gapdh_tnpo1_image04_R3D.dv	ch1	7058.5259	7241.2563	7407.3193	7560.8652	7654.7261	7526.3442	7350.8843	7271.3379	7316.6045	7470.7017	7634.0874	7814.1973	8053.5415	8267.0947	8343.4189	8375.3955	8369.6885	8267.0459	8144.5869	7997.7563	7809.1938	7627.2969	7498.9131	7423.3398	7500.8623	7670.7153	7784.4863	7839.3721	7832.7725	7692.1807	7545.0713	7396.8281	7341.7964	7331.7695	7341.3726	7331.23	7298.6948	7202.2896	7093.0415	7010.4775	6926.2515	6862.1382	6825.9976	6812.0029	6841.8691	6864.5635	6868.8936	6866.0547	6895.7305	6999.8003	7131.4341	7213.5928	7269.7944	7286.8555	7236.7881	7189.0376	7164.958	7161.2593	7209.3203	7226.5625	7278.9453	7327.1904	7398.2856	7489.5293	7625.8135	7779.8828	7934.0244	8032.1631	8106.1157	8230.7842	8354.0156	8470.1543	8560.6572	8679.2637	8866.376	9171.2354	9560.7471	9908.3848	10244.4482	10587.2715	10921.1797	11217.0283	11489.4238	11819.5547	12106.9678	12298.5498	12537.668	12826.624	13163.6777	13535.1025	13898.5713	14179.041	14347.792	14475.0723	14469.5576	14409.9971	14336.3379	14454.9365	14714.8887	15094.7031	15519.998	15962.5742	16104.4609	16112.1064	16190.6182	16178.2373	16069.6777	15974.9697	15853.8887	15847.6289	15995.624	16258.3945	16515.3379	16762.0293	16896.0469	16938.4844	17059.0332	17218.1191	17268.5547	17154.8574	16792.4297	16203.0693	15580.7627	15160.9424	14992.7852	15070.4326	15344.7939	15691.6904	16039.0664	16451.4766	16702.2031	16788.4434	16781.1445	16560.4805	16125.0957	15746.8408	15600.585	15668.5088	15795.916	15939.4219	16084.917	16246.0898	16402.6465	16502.3848	16573.3242	16686.25	16808.2305	16961.168	17069.2168	17061.918	16983.5391	16902.3027	16755.1152	16508.7285	16448.3555	16324.0498	16004.0107	15737.3721	15433.7617	15108.0508	14824.7852	14570.4902	14306.6396	14070.5996	13953.0029	13846.5439	13685.8887	13530.9805	13463.8438	13631.6299	13946.5635	14276.915	14441.8779	14404.1309	14291.6484	14331.6592	14495.8936	14656.2686	14831.4346	14948.292	14833.1904	
250802A_U2OS_gapdh_tnpo1_image04_R3D.dv	ch2	4296.3818	4290.4399	4283.1646	4293.7803	4303.7422	4308.499	4325.2358	4330.582	4331.2441	4328.2256	4334.2612	4364.416	4399.8428	4413.8398	4435.1118	4414.6719	4371.9541	4355.4092	4354.8838	4363.8906	4358.2632	4363.7744	4358.0674	4345.0059	4338.9731	4343.0571	4345.6045	4369.0596	4366.7383	4348.2314	4335.4033	4321.1777	4314.2607	4310.7197	4302.1279	4291.8872	4286.248	4299.0518	4305.1997	4299.1816	4289.4512	4265.5474	4249.1733	4225.9214	4216.3428	4218.3545	4220.7495	4226.1904	4229.8311	4236.5615	4250.1094	4260.6094	4265.7935	4268.2402	4282.4834	4307.9194	4360.8633	4410.5059	4457.3481	4471.6157	4427.4644	4352.1616	4302.1201	4288.2861	4278.4229	4286.29	4290.3286	4300.2646	4317.6597	4343.4512	4353.2109	4372.7334	4394.6094	4433.8276	4473.2334	4522.4204	4570.1743	4613.8701	4660.877	4708.2817	4752.1987	4805.4053	4863.5376	4969.6294	5062.8589	5145.8701	5177.9922	5146.3594	5088.1987	5053.0889	5069.1997	5091.0166	5125.1841	5157.332	5203.1973	5233.0039	5254.5405	5270.2319	5283.9639	5297.2725	5310.9678	5356.0977	5393.6992	5467.9038	5544.4541	5629.1968	5691.6816	5727.8301	5729.3892	5701.1812	5620.4824	5524.2632	5450.9692	5395.3174	5363.189	5336.0723	5332.4316	5338.1724	5358.2881	5381.73	5405.8105	5434.4502	5431.0166	5415.061	5397.5273	5377.7837	5372.0801	5340.1479	5296.4805	5259.9131	5196.5625	5161.2134	5156.7778	5157.3379	5170.5293	5176.708	5166.0186	5140.6138	5145.6123	5172.4341	5192.4292	5198.0146	5180.6362	5110.063	5018.2559	4954.9097	4905.9512	4864.4614	4832.6304	4818.0518	4792.6445	4746.2466	4679.1226	4601.439	4529.8101	4481.1997	4452.541	4470.2856	4503.6357	4550.2544	4585.1841	4579.2656	4536.29	4456.9004	4398.959	4351.186	4312.6079	4297.978	4299.6406	4315.9575	4315.7178	4317.9712	4291.2104	4223.6763	4151.48	4112.501	4083.4773	4065.0942	4067.5989	4058.4719	4058.1548	
250802A_U2OS_gapdh_tnpo1_image08_R3D.dv	ch1	4316.728	4322.3027	4289.3608	4236.5874	4204.0938	4216.7095	4253.0225	4253.9175	4210.5596	4179.062	4170.7119	4152.8184	4151.5581	4209.1846	4326.1846	4413.5864	4364.4561	4258.9243	4170.8198	4110.2925	4071.5286	4050.7102	4037.9404	4041.2749	4060.8997	4102.5112	4137.0474	4149.8364	4153.335	4155.8599	4194.5322	4255.4644	4286.2754	4286.3354	4257.4912	4250.9214	4242.2871	4210.6313	4180.8442	4170.3643	4178.2495	4210.6211	4249.2505	4255.1455	4258.5542	4282.209	4310.3911	4398.8184	4511.083	4574.4155	4620.979	4712.3237	4795.0938	4756.8643	4676.291	4647.1406	4647.6211	4711.3477	4791.8081	4831.5361	4824.0405	4853.8364	4905.1177	4966.5327	5054.2988	5188.4829	5373.644	5507.5547	5558.5791	5588.04	5641.4585	5752.625	5907.2925	6138.7085	6460.3315	6825.4639	7153.2397	7527.2666	7831.2969	8020.5952	8220.8174	8436.1494	8641.4756	8891.2363	9136.4971	9284.4072	9354.3965	9362.2188	9272.6787	9119.3477	8957.875	8899.3818	8927.6182	8967.3301	8933.5977	8949.6572	9050.9141	9190.0508	9263.7754	9247.8604	9156.666	8974.9756	8641.6484	8180.0137	7768.1836	7401.3979	7088.9292	6912.0986	6915.7627	6986.3833	6935.7783	6706.6523	6553.7476	6528.3271	6604.1865	6730.5796	6765.4673	6663.9307	6592.0229	6588.6675	6545.9229	6448.1074	6353.3906	6251.0093	6177.9097	6178.9087	6244.043	6314.9565	6324.4419	6372.1567	6487.9004	6731.6299	7076.1709	7509.9209	8001.9097	8450.1133	8865.625	9166.7666	9269.4795	9300.6738	9498.1162	9623.8848	9368.1299	8738.6611	8153.6929	7937.9351	8111.6035	8309.958	8316.6631	8281.6768	8430.8994	8827.9551	9282.9502	9867.5801	10685.2939	11479.9111	11981.0957	12143.4795	11952.1426	11451.9072	10764.7266	10239.6025	10044.4668	10052.0596	9980.6035	9740.5225	9368.3711	8980.9189	8744.8916	8790.3467	9225.1914	9861.9326	10189.8867	10115.3604	10061.0771	10315.8125	10658.7012	10973.1533	11026.9541	10666.0293	10039.4648	
250802A_U2OS_gapdh_tnpo1_image08_R3D.dv	ch2	3623.7415	3576.2068	3561.2869	3548.8127	3540.0393	3532.2412	3537.05	3551.2197	3550.0608	3543.4534	3547.113	3555.2302	3561.9543	3554.2854	3551.8774	3547.5415	3552.2007	3561.0659	3567.438	3566.1023	3576.0078	3575.988	3570.0703	3570.7961	3569.1814	3584.7241	3597.7278	3606.8484	3606.1123	3621.4033	3643.2576	3649.5647	3643.7576	3644.3345	3649.7297	3660.5933	3669.8115	3670.323	3661.2366	3640.8135	3619.2722	3583.0015	3556.8535	3543.3533	3525.4409	3524.416	3525.436	3525.156	3523.1328	3518.7061	3527.4104	3535.5955	3549.4761	3570.1113	3597.8591	3608.4897	3594.6287	3596.291	3599.293	3608.9272	3622.9204	3627.73	3650.9919	3655.5251	3630.3989	3606.917	3595.5747	3600.2544	3607.281	3606.8962	3610.3977	3625.1257	3636.0574	3644.8711	3660.345	3687.0364	3698.209	3702.8374	3724.8306	3754.0225	3770.5173	3779.2285	3802.0513	3842.3215	3924.3523	3993.5884	4023.043	4007.8411	3969.9785	3935.7312	3894.3147	3862.3452	3847.4526	3864.6997	3893.9158	3933.2708	3968.209	4000.0537	4017.4692	4039.9722	4066.144	4108.4336	4133.5879	4149.7715	4154.3057	4120.1577	4063.8259	4024.5015	4019.3345	4008.6211	3987.7654	3970.2766	4028.0864	4117.8423	4142.8813	4098.8906	4068.1636	4066.0869	4074.5681	4075.937	4084.4592	4104.9087	4081.1833	4000.9441	3954.0635	3953.9668	3933.1958	3895.4744	3842.5063	3795.2249	3763.2842	3764.7559	3779.4524	3788.9912	3762.1084	3744.9297	3721.7971	3699.9299	3682.969	3674.4375	3682.6021	3693.75	3705.012	3689.4214	3670.2249	3669.5955	3686.3	3719.3748	3758.8765	3806.8206	3846.1023	3875.3264	3870.7009	3835.886	3748.3423	3638.1455	3549.1931	3499.6746	3482.186	3469.6384	3495.1272	3545.8723	3634.0715	3742.5823	3787.6108	3695.6875	3570.5183	3478.6025	3412.6238	3365.0454	3332.5195	3309.686	3285.4312	3256.7803	3219.1753	3219.6438	3235.2969	3245.2922	3245.1091	3247.3059	3255.7678	
250802A_U2OS_gapdh_tnpo1_image10_R3D.dv	ch1	4426.4419	4424.0352	4382.1782	4331.2559	4287.8979	4246.1611	4213.8511	4189.1558	4185.9819	4194.6606	4223.2988	4257.8779	4279.644	4329.7251	4360.4683	4375.0967	4424.105	4495.2544	4614.1938	4753.4404	4926.3052	5063.6416	5153.9023	5212.6841	5202.521	5136.1133	5025.3726	4880.9229	4734.9404	4640.5742	4570.7241	4523.0825	4527.9214	4551.8916	4599.4209	4651.5112	4742.0596	4806.1963	4839.2041	4863.355	4923.1216	5017.1377	5127.8657	5216.5942	5293.9961	5300.1938	5241.1299	5225.0571	5267.6133	5381.2666	5514.2192	5618.7969	5693.3931	5792.1958	5969.8438	6231.9668	6457.1611	6582.2715	6613.2871	6532.5044	6405.4546	6371.9136	6425.1709	6528.249	6619.0645	6730.2734	6886.6812	6989.0459	7050.5918	7063.0737	7088.394	7176.9717	7305.2466	7399.0386	7497.6694	7610.6582	7751.7832	7911.5537	8043.3394	8197.2256	8397.0078	8635.6543	8908.9355	9171.2969	9387.9092	9645.417	10004.3135	10462.1211	10993.7275	11519.5771	11965.4258	12250.5791	12547.7266	12937.3486	13388.3291	13795.5117	14069.9121	14302.2461	14549.2617	14904.5225	15228.1768	15540.0605	15844.1025	16170.9414	16391.2734	16526.1973	16773.8301	17107.3633	17406.0879	17619.1113	17794.0703	17950.916	18097.8535	18177.627	18243.3613	18341.6914	18425.375	18566.9004	18789.7148	19135.3301	19541.2168	19924.5977	20332.3301	20474.7578	20415.9297	20456.8418	20599.0312	20651.9609	20565.3359	20388.8184	20045.0742	19501.334	18937.373	18435.5039	18121.6719	17954.6426	18036.5742	18057.6406	17992.8535	17849.1504	17691.5195	17584.5566	17644.8066	17859.2773	18206.6543	18462.0195	18424.959	18055.5723	17461.8281	16937.6758	16493.4766	16096.7441	15836.5459	15709.9863	15718.6855	15808.1416	15907.4414	15924.2695	15817.0898	15769.8135	15757.3965	15696.1377	15534.0059	15411.917	15251.625	14978.54	14688.0635	14502.2959	14459.5371	14374.1992	14131.9824	13837.04	13565.7988	13418.542	13419.3086	13503.1914	13494.29	13360.5234	13265.5967	13224.9307	13203.4385	
